,Number of Occurrences,Machine Cost,Event,Method
235,6,10,redo_B,Supervisory
236,27,50,redo_B,Supervisory+RL
237,12,50,redo_B,Supervisory
238,20,100,redo_B,Supervisory+RL
239,4,100,redo_B,Supervisory
240,23,150,redo_B,Supervisory+RL
241,9,150,redo_B,Supervisory
242,25,200,redo_B,Supervisory+RL
243,9,200,redo_B,Supervisory
244,27,300,redo_B,Supervisory+RL
245,10,300,redo_B,Supervisory
246,19,400,redo_B,Supervisory+RL
247,6,400,redo_B,Supervisory
248,31,500,redo_B,Supervisory+RL
249,6,500,redo_B,Supervisory
250,30,1000,redo_B,Supervisory+RL
251,16,1000,redo_B,Supervisory
252,25,10,redo_A,Supervisory+RL
253,17,10,redo_A,Supervisory
254,27,50,redo_A,Supervisory+RL
255,10,50,redo_A,Supervisory
256,11,100,redo_A,Supervisory+RL
257,7,100,redo_A,Supervisory
258,68,150,redo_A,Supervisory+RL
259,9,150,redo_A,Supervisory
260,22,200,redo_A,Supervisory+RL
261,17,200,redo_A,Supervisory
262,7,300,redo_A,Supervisory+RL
263,12,300,redo_A,Supervisory
264,35,400,redo_A,Supervisory+RL
265,12,400,redo_A,Supervisory
266,32,500,redo_A,Supervisory+RL
267,12,500,redo_A,Supervisory
268,6,1000,redo_A,Supervisory+RL
269,8,1000,redo_A,Supervisory
270,27,10,redo_B,Supervisory+RL
271,6,10,redo_B,Supervisory
272,27,50,redo_B,Supervisory+RL
273,12,50,redo_B,Supervisory
274,20,100,redo_B,Supervisory+RL
275,4,100,redo_B,Supervisory
276,23,150,redo_B,Supervisory+RL
277,9,150,redo_B,Supervisory
278,25,200,redo_B,Supervisory+RL
279,9,200,redo_B,Supervisory
280,27,300,redo_B,Supervisory+RL
281,10,300,redo_B,Supervisory
282,19,400,redo_B,Supervisory+RL
283,6,400,redo_B,Supervisory
284,31,500,redo_B,Supervisory+RL
285,6,500,redo_B,Supervisory
286,30,1000,redo_B,Supervisory+RL
287,16,1000,redo_B,Supervisory
288,25,10,redo_A,Supervisory+RL
289,17,10,redo_A,Supervisory
290,27,50,redo_A,Supervisory+RL
291,10,50,redo_A,Supervisory
292,11,100,redo_A,Supervisory+RL
293,7,100,redo_A,Supervisory
294,68,150,redo_A,Supervisory+RL
295,9,150,redo_A,Supervisory
296,22,200,redo_A,Supervisory+RL
297,17,200,redo_A,Supervisory
298,7,300,redo_A,Supervisory+RL
299,12,300,redo_A,Supervisory
300,35,400,redo_A,Supervisory+RL
301,12,400,redo_A,Supervisory
302,32,500,redo_A,Supervisory+RL
303,12,500,redo_A,Supervisory
304,6,1000,redo_A,Supervisory+RL
305,8,1000,redo_A,Supervisory
306,27,10,redo_B,Supervisory+RL
307,6,10,redo_B,Supervisory
308,27,50,redo_B,Supervisory+RL
309,12,50,redo_B,Supervisory
310,20,100,redo_B,Supervisory+RL
311,4,100,redo_B,Supervisory
312,23,150,redo_B,Supervisory+RL
313,9,150,redo_B,Supervisory
314,25,200,redo_B,Supervisory+RL
315,9,200,redo_B,Supervisory
316,27,300,redo_B,Supervisory+RL
317,10,300,redo_B,Supervisory
318,19,400,redo_B,Supervisory+RL
319,6,400,redo_B,Supervisory
320,31,500,redo_B,Supervisory+RL
321,6,500,redo_B,Supervisory
322,30,1000,redo_B,Supervisory+RL
323,16,1000,redo_B,Supervisory
324,25,10,redo_A,Supervisory+RL
325,17,10,redo_A,Supervisory
326,27,50,redo_A,Supervisory+RL
327,10,50,redo_A,Supervisory
328,11,100,redo_A,Supervisory+RL
329,7,100,redo_A,Supervisory
330,68,150,redo_A,Supervisory+RL
331,9,150,redo_A,Supervisory
332,22,200,redo_A,Supervisory+RL
333,17,200,redo_A,Supervisory
334,7,300,redo_A,Supervisory+RL
335,12,300,redo_A,Supervisory
336,35,400,redo_A,Supervisory+RL
337,12,400,redo_A,Supervisory
338,32,500,redo_A,Supervisory+RL
339,12,500,redo_A,Supervisory
340,6,1000,redo_A,Supervisory+RL
341,8,1000,redo_A,Supervisory
342,27,10,redo_B,Supervisory+RL
343,6,10,redo_B,Supervisory
344,27,50,redo_B,Supervisory+RL
345,12,50,redo_B,Supervisory
346,20,100,redo_B,Supervisory+RL
347,4,100,redo_B,Supervisory
