,mean reward,Machine Cost,method
303,177280,400,Supervisory+RL
304,90280,400,Supervisory+RL
305,192480,400,Supervisory+RL
306,124280,400,Supervisory+RL
307,169080,400,Supervisory+RL
308,134480,400,Supervisory+RL
309,168890,400,Supervisory+RL
310,188680,400,Supervisory+RL
311,178880,400,Supervisory+RL
312,170880,400,Supervisory+RL
313,180690,400,Supervisory+RL
314,168880,400,Supervisory+RL
315,132670,400,Supervisory+RL
316,98880,400,Supervisory+RL
317,169270,400,Supervisory+RL
318,138890,400,Supervisory+RL
319,172690,400,Supervisory+RL
320,189890,400,Supervisory+RL
321,171280,400,Supervisory+RL
322,179280,400,Supervisory+RL
323,172670,400,Supervisory+RL
324,181080,400,Supervisory+RL
325,192890,400,Supervisory+RL
326,172680,400,Supervisory+RL
327,171880,400,Supervisory+RL
328,175480,400,Supervisory+RL
329,195080,400,Supervisory+RL
330,179870,400,Supervisory+RL
331,187080,400,Supervisory+RL
332,129680,400,Supervisory+RL
333,166270,400,Supervisory+RL
334,177690,400,Supervisory+RL
335,182080,400,Supervisory+RL
336,128880,400,Supervisory+RL
337,179090,400,Supervisory+RL
338,190290,400,Supervisory+RL
339,130890,400,Supervisory+RL
340,128070,400,Supervisory+RL
341,181080,400,Supervisory+RL
342,184280,400,Supervisory+RL
343,169870,400,Supervisory+RL
344,169080,400,Supervisory+RL
345,176080,400,Supervisory+RL
346,139470,400,Supervisory+RL
347,139280,400,Supervisory+RL
348,179280,400,Supervisory+RL
349,167880,400,Supervisory+RL
350,174880,500,Supervisory+RL
351,112880,500,Supervisory+RL
352,173880,500,Supervisory+RL
353,77370,500,Supervisory+RL
354,196390,500,Supervisory+RL
355,127880,500,Supervisory+RL
356,172390,500,Supervisory+RL
357,174380,500,Supervisory+RL
358,132370,500,Supervisory+RL
359,181370,500,Supervisory+RL
360,141380,500,Supervisory+RL
361,91870,500,Supervisory+RL
362,140390,500,Supervisory+RL
363,181390,500,Supervisory+RL
364,183390,500,Supervisory+RL
365,121370,500,Supervisory+RL
366,119890,500,Supervisory+RL
367,180390,500,Supervisory+RL
368,174390,500,Supervisory+RL
369,169870,500,Supervisory+RL
370,175880,500,Supervisory+RL
371,199390,500,Supervisory+RL
372,126380,500,Supervisory+RL
373,173380,500,Supervisory+RL
374,190390,500,Supervisory+RL
375,127380,500,Supervisory+RL
376,97890,500,Supervisory+RL
377,169380,500,Supervisory+RL
378,91900,500,Supervisory+RL
379,131390,500,Supervisory+RL
380,133390,500,Supervisory+RL
381,131380,500,Supervisory+RL
382,133390,500,Supervisory+RL
383,186880,500,Supervisory+RL
384,180880,500,Supervisory+RL
385,187880,500,Supervisory+RL
386,181390,500,Supervisory+RL
387,61370,500,Supervisory+RL
388,118880,500,Supervisory+RL
389,171380,500,Supervisory+RL
390,127880,500,Supervisory+RL
391,133880,500,Supervisory+RL
392,133880,500,Supervisory+RL
393,192390,500,Supervisory+RL
394,141380,500,Supervisory+RL
395,93380,500,Supervisory+RL
396,174380,500,Supervisory+RL
397,178880,500,Supervisory+RL
398,173390,500,Supervisory+RL
399,174370,500,Supervisory+RL
400,142890,1000,Supervisory+RL
401,129880,1000,Supervisory+RL
402,136880,1000,Supervisory+RL
403,97880,1000,Supervisory+RL
404,93880,1000,Supervisory+RL
405,53880,1000,Supervisory+RL
406,137880,1000,Supervisory+RL
407,133880,1000,Supervisory+RL
408,107890,1000,Supervisory+RL
409,80880,1000,Supervisory+RL
410,129880,1000,Supervisory+RL
411,88890,1000,Supervisory+RL
412,125880,1000,Supervisory+RL
413,130870,1000,Supervisory+RL
414,141890,1000,Supervisory+RL
415,90890,1000,Supervisory+RL
416,137880,1000,Supervisory+RL
417,136890,1000,Supervisory+RL
418,137880,1000,Supervisory+RL
419,96880,1000,Supervisory+RL
420,143890,1000,Supervisory+RL
421,129880,1000,Supervisory+RL
422,89880,1000,Supervisory+RL
423,133880,1000,Supervisory+RL
424,133880,1000,Supervisory+RL
425,97880,1000,Supervisory+RL
426,29880,1000,Supervisory+RL
427,140890,1000,Supervisory+RL
428,141880,1000,Supervisory+RL
429,137880,1000,Supervisory+RL
430,137880,1000,Supervisory+RL
431,142880,1000,Supervisory+RL
432,47880,1000,Supervisory+RL
433,56890,1000,Supervisory+RL
434,89880,1000,Supervisory+RL
435,127880,1000,Supervisory+RL
436,129880,1000,Supervisory+RL
437,92890,1000,Supervisory+RL
438,133880,1000,Supervisory+RL
439,132890,1000,Supervisory+RL
440,35880,1000,Supervisory+RL
441,143890,1000,Supervisory+RL
