,mean reward,Fail Probability,method
256,208060,60,Supervisory+RL
257,199190,60,Supervisory+RL
258,199170,60,Supervisory+RL
259,176010,60,Supervisory+RL
260,198190,60,Supervisory+RL
261,199240,60,Supervisory+RL
262,197130,60,Supervisory+RL
263,208090,60,Supervisory+RL
264,214980,60,Supervisory+RL
265,198130,60,Supervisory+RL
266,166070,60,Supervisory+RL
267,217040,60,Supervisory+RL
268,198200,60,Supervisory+RL
269,209180,60,Supervisory+RL
270,199220,60,Supervisory+RL
271,166070,60,Supervisory+RL
272,198190,60,Supervisory+RL
273,159180,60,Supervisory+RL
274,165020,60,Supervisory+RL
275,197160,60,Supervisory+RL
276,115000,60,Supervisory+RL
277,168090,60,Supervisory+RL
278,197160,60,Supervisory+RL
279,128070,60,Supervisory+RL
280,208130,60,Supervisory+RL
281,207100,60,Supervisory+RL
282,93950,60,Supervisory+RL
283,198160,60,Supervisory+RL
284,159220,60,Supervisory+RL
285,177990,60,Supervisory+RL
286,208130,60,Supervisory+RL
287,198190,60,Supervisory+RL
288,196110,60,Supervisory+RL
289,126070,60,Supervisory+RL
290,199220,60,Supervisory+RL
291,77120,60,Supervisory+RL
292,208130,60,Supervisory+RL
293,198190,60,Supervisory+RL
294,119140,60,Supervisory+RL
295,198190,60,Supervisory+RL
296,209160,60,Supervisory+RL
297,118050,60,Supervisory+RL
298,149160,60,Supervisory+RL
299,167070,60,Supervisory+RL
300,207080,70,Supervisory+RL
301,163890,70,Supervisory+RL
302,199180,70,Supervisory+RL
303,199230,70,Supervisory+RL
304,199220,70,Supervisory+RL
305,106010,70,Supervisory+RL
306,217040,70,Supervisory+RL
307,14860,70,Supervisory+RL
308,199220,70,Supervisory+RL
309,118160,70,Supervisory+RL
310,197130,70,Supervisory+RL
311,199220,70,Supervisory+RL
312,207120,70,Supervisory+RL
313,199230,70,Supervisory+RL
314,198170,70,Supervisory+RL
315,198210,70,Supervisory+RL
316,156050,70,Supervisory+RL
317,158190,70,Supervisory+RL
318,179090,70,Supervisory+RL
319,199220,70,Supervisory+RL
320,96960,70,Supervisory+RL
321,197130,70,Supervisory+RL
322,175010,70,Supervisory+RL
323,203940,70,Supervisory+RL
324,198170,70,Supervisory+RL
325,209130,70,Supervisory+RL
326,197060,70,Supervisory+RL
327,169210,70,Supervisory+RL
328,207100,70,Supervisory+RL
329,199220,70,Supervisory+RL
330,166030,70,Supervisory+RL
331,146090,70,Supervisory+RL
332,209180,70,Supervisory+RL
333,208090,70,Supervisory+RL
334,167060,70,Supervisory+RL
335,168140,70,Supervisory+RL
336,119220,70,Supervisory+RL
337,198210,70,Supervisory+RL
