,mean reward,Fail Probability,method
335,109040,80,SCT
336,159120,80,SCT
337,149160,80,SCT
338,129040,80,SCT
339,49030,80,SCT
340,56970,90,SCT
341,99170,90,SCT
342,19090,90,SCT
343,-2090,90,SCT
344,97050,90,SCT
345,-30970,90,SCT
346,49050,90,SCT
347,59100,90,SCT
348,97030,90,SCT
349,-42080,90,SCT
350,49010,90,SCT
351,159110,90,SCT
352,98030,90,SCT
353,46950,90,SCT
354,97010,90,SCT
355,-2070,90,SCT
356,47980,90,SCT
357,59100,90,SCT
358,8020,90,SCT
359,95930,90,SCT
