,mean reward,Machine Cost,method
751,182000,400,Supervisory
752,82400,400,Supervisory
753,150800,400,Supervisory
754,137000,400,Supervisory
755,184000,400,Supervisory
756,180200,400,Supervisory
757,141800,400,Supervisory
758,88000,400,Supervisory
759,116400,400,Supervisory
760,89200,400,Supervisory
761,139600,400,Supervisory
762,127400,400,Supervisory
763,132600,400,Supervisory
764,183200,400,Supervisory
765,45000,400,Supervisory
766,183000,400,Supervisory
767,124400,400,Supervisory
768,184400,400,Supervisory
769,37200,400,Supervisory
770,84000,400,Supervisory
771,132000,400,Supervisory
772,141200,400,Supervisory
773,104000,400,Supervisory
774,144000,400,Supervisory
775,55200,400,Supervisory
776,184000,400,Supervisory
777,136400,400,Supervisory
778,128600,400,Supervisory
779,55200,400,Supervisory
780,82800,400,Supervisory
781,86000,400,Supervisory
782,133200,400,Supervisory
783,122400,400,Supervisory
784,75400,400,Supervisory
785,110800,400,Supervisory
786,84000,400,Supervisory
787,43600,400,Supervisory
788,121600,400,Supervisory
789,180800,400,Supervisory
790,82400,400,Supervisory
791,92000,400,Supervisory
792,188000,400,Supervisory
793,132800,400,Supervisory
794,192400,400,Supervisory
795,187800,400,Supervisory
796,101800,400,Supervisory
797,30800,400,Supervisory
798,151600,400,Supervisory
799,192400,400,Supervisory
800,134500,500,Supervisory
801,66500,500,Supervisory
802,116500,500,Supervisory
803,138500,500,Supervisory
804,102500,500,Supervisory
805,102500,500,Supervisory
806,24000,500,Supervisory
807,112000,500,Supervisory
808,130500,500,Supervisory
809,64000,500,Supervisory
810,182500,500,Supervisory
811,78000,500,Supervisory
812,173000,500,Supervisory
813,179000,500,Supervisory
814,65000,500,Supervisory
815,101500,500,Supervisory
816,103000,500,Supervisory
817,83000,500,Supervisory
818,183500,500,Supervisory
819,140000,500,Supervisory
820,131000,500,Supervisory
821,119500,500,Supervisory
822,23000,500,Supervisory
823,148000,500,Supervisory
824,172500,500,Supervisory
825,47500,500,Supervisory
826,-2500,500,Supervisory
827,173000,500,Supervisory
828,81000,500,Supervisory
829,13000,500,Supervisory
830,73000,500,Supervisory
831,118000,500,Supervisory
832,73000,500,Supervisory
833,76500,500,Supervisory
834,135500,500,Supervisory
835,132500,500,Supervisory
836,93000,500,Supervisory
837,115000,500,Supervisory
838,172500,500,Supervisory
839,82500,500,Supervisory
840,142000,500,Supervisory
841,67000,500,Supervisory
842,88000,500,Supervisory
843,71000,500,Supervisory
844,180000,500,Supervisory
845,34000,500,Supervisory
846,192000,500,Supervisory
847,172500,500,Supervisory
848,175000,500,Supervisory
849,119000,500,Supervisory
850,81000,1000,Supervisory
851,109000,1000,Supervisory
852,117000,1000,Supervisory
853,70000,1000,Supervisory
854,65000,1000,Supervisory
855,23000,1000,Supervisory
856,-7000,1000,Supervisory
857,-24000,1000,Supervisory
858,-30000,1000,Supervisory
859,134000,1000,Supervisory
860,84000,1000,Supervisory
861,-32000,1000,Supervisory
862,72000,1000,Supervisory
863,5000,1000,Supervisory
864,0,1000,Supervisory
865,132000,1000,Supervisory
866,30000,1000,Supervisory
867,72000,1000,Supervisory
868,12000,1000,Supervisory
869,130000,1000,Supervisory
870,84000,1000,Supervisory
871,95000,1000,Supervisory
872,-26000,1000,Supervisory
873,62000,1000,Supervisory
874,80000,1000,Supervisory
875,131000,1000,Supervisory
876,130000,1000,Supervisory
877,35000,1000,Supervisory
878,123000,1000,Supervisory
879,94000,1000,Supervisory
880,31000,1000,Supervisory
881,130000,1000,Supervisory
882,76000,1000,Supervisory
883,100000,1000,Supervisory
884,7000,1000,Supervisory
885,122000,1000,Supervisory
886,86000,1000,Supervisory
887,50000,1000,Supervisory
888,11000,1000,Supervisory
889,67000,1000,Supervisory
890,40000,1000,Supervisory
891,94000,1000,Supervisory
892,82000,1000,Supervisory
893,126000,1000,Supervisory
894,93000,1000,Supervisory
895,62000,1000,Supervisory
896,30000,1000,Supervisory
897,131000,1000,Supervisory
898,18000,1000,Supervisory
899,78000,1000,Supervisory
