,mean reward,Rework Cost,method
436,199220,9000,Supervisory+RL
437,200110,9000,Supervisory+RL
438,219040,9000,Supervisory+RL
439,199130,9000,Supervisory+RL
440,209130,9000,Supervisory+RL
441,169130,9000,Supervisory+RL
442,110190,9000,Supervisory+RL
443,199220,9000,Supervisory+RL
444,190170,9000,Supervisory+RL
445,199180,9000,Supervisory+RL
446,190210,9000,Supervisory+RL
447,209160,9000,Supervisory+RL
448,151160,9000,Supervisory+RL
449,182070,9000,Supervisory+RL
450,119060,1000,Supervisory
451,167010,1000,Supervisory
452,229090,1000,Supervisory
453,209140,1000,Supervisory
454,169140,1000,Supervisory
455,219080,1000,Supervisory
456,177960,1000,Supervisory
457,79170,1000,Supervisory
458,177010,1000,Supervisory
459,209160,1000,Supervisory
460,18070,1000,Supervisory
461,169000,1000,Supervisory
462,159070,1000,Supervisory
463,148960,1000,Supervisory
464,69000,1000,Supervisory
465,129000,1000,Supervisory
466,227950,1000,Supervisory
467,168110,1000,Supervisory
468,119120,1000,Supervisory
469,229060,1000,Supervisory
470,179040,1000,Supervisory
471,209130,1000,Supervisory
472,229040,1000,Supervisory
473,179160,1000,Supervisory
474,109000,1000,Supervisory
475,228980,1000,Supervisory
476,179100,1000,Supervisory
477,219090,1000,Supervisory
478,189000,1000,Supervisory
479,189010,1000,Supervisory
480,218080,1000,Supervisory
481,158030,1000,Supervisory
482,169000,1000,Supervisory
483,229040,1000,Supervisory
484,168010,1000,Supervisory
485,166980,1000,Supervisory
486,129160,1000,Supervisory
487,159210,1000,Supervisory
488,158050,1000,Supervisory
489,209160,1000,Supervisory
490,219170,1000,Supervisory
491,219120,1000,Supervisory
492,146950,1000,Supervisory
493,129040,1000,Supervisory
494,167980,1000,Supervisory
495,169000,1000,Supervisory
496,109090,1000,Supervisory
497,119160,1000,Supervisory
498,159000,1000,Supervisory
499,119100,1000,Supervisory
500,133050,2000,Supervisory
501,228990,2000,Supervisory
502,106910,2000,Supervisory
503,228970,2000,Supervisory
504,109040,2000,Supervisory
505,177040,2000,Supervisory
506,179080,2000,Supervisory
507,125010,2000,Supervisory
508,228920,2000,Supervisory
509,129100,2000,Supervisory
510,119090,2000,Supervisory
511,169070,2000,Supervisory
512,219160,2000,Supervisory
513,179060,2000,Supervisory
514,219170,2000,Supervisory
515,169140,2000,Supervisory
516,168950,2000,Supervisory
517,179050,2000,Supervisory
518,109140,2000,Supervisory
519,138970,2000,Supervisory
520,179020,2000,Supervisory
521,174860,2000,Supervisory
522,227070,2000,Supervisory
523,167030,2000,Supervisory
524,167010,2000,Supervisory
525,209100,2000,Supervisory
526,159050,2000,Supervisory
527,239030,2000,Supervisory
528,136990,2000,Supervisory
529,219020,2000,Supervisory
530,137010,2000,Supervisory
531,119010,2000,Supervisory
532,26960,2000,Supervisory
533,116960,2000,Supervisory
534,189090,2000,Supervisory
535,169160,2000,Supervisory
536,138920,2000,Supervisory
537,159160,2000,Supervisory
538,79110,2000,Supervisory
539,217070,2000,Supervisory
540,219050,2000,Supervisory
541,168950,2000,Supervisory
542,127010,2000,Supervisory
543,217070,2000,Supervisory
544,238980,2000,Supervisory
545,149040,2000,Supervisory
546,179070,2000,Supervisory
547,179090,2000,Supervisory
548,198930,2000,Supervisory
549,229010,2000,Supervisory
550,62940,3000,Supervisory
551,159100,3000,Supervisory
552,209130,3000,Supervisory
553,219020,3000,Supervisory
554,109090,3000,Supervisory
555,176070,3000,Supervisory
556,58970,3000,Supervisory
557,159050,3000,Supervisory
558,215980,3000,Supervisory
559,226020,3000,Supervisory
560,128950,3000,Supervisory
561,166010,3000,Supervisory
562,109110,3000,Supervisory
563,209140,3000,Supervisory
564,125970,3000,Supervisory
565,216010,3000,Supervisory
566,129030,3000,Supervisory
567,112780,3000,Supervisory
568,116020,3000,Supervisory
569,219050,3000,Supervisory
570,69190,3000,Supervisory
571,118960,3000,Supervisory
572,179140,3000,Supervisory
573,159120,3000,Supervisory
574,229050,3000,Supervisory
575,179090,3000,Supervisory
576,188940,3000,Supervisory
577,179880,3000,Supervisory
578,175950,3000,Supervisory
579,136070,3000,Supervisory
580,229000,3000,Supervisory
581,178930,3000,Supervisory
582,228980,3000,Supervisory
583,226040,3000,Supervisory
584,165980,3000,Supervisory
585,169060,3000,Supervisory
586,206130,3000,Supervisory
587,176060,3000,Supervisory
588,159060,3000,Supervisory
589,189000,3000,Supervisory
590,225950,3000,Supervisory
591,199020,3000,Supervisory
592,216050,3000,Supervisory
593,49030,3000,Supervisory
594,169040,3000,Supervisory
595,229040,3000,Supervisory
596,179100,3000,Supervisory
597,159120,3000,Supervisory
598,168940,3000,Supervisory
599,149150,3000,Supervisory
600,214960,4000,Supervisory
601,205100,4000,Supervisory
602,168990,4000,Supervisory
603,169130,4000,Supervisory
604,115000,4000,Supervisory
605,59030,4000,Supervisory
606,179060,4000,Supervisory
607,189080,4000,Supervisory
608,168960,4000,Supervisory
609,178980,4000,Supervisory
610,168950,4000,Supervisory
611,115110,4000,Supervisory
612,185090,4000,Supervisory
613,148970,4000,Supervisory
614,69120,4000,Supervisory
615,174950,4000,Supervisory
616,168930,4000,Supervisory
617,219060,4000,Supervisory
618,159020,4000,Supervisory
619,220980,4000,Supervisory
620,215050,4000,Supervisory
621,169040,4000,Supervisory
622,219100,4000,Supervisory
623,159080,4000,Supervisory
624,179140,4000,Supervisory
625,169070,4000,Supervisory
626,124800,4000,Supervisory
627,138980,4000,Supervisory
628,229050,4000,Supervisory
629,119060,4000,Supervisory
630,119100,4000,Supervisory
631,209130,4000,Supervisory
632,196970,4000,Supervisory
633,79040,4000,Supervisory
634,175070,4000,Supervisory
635,95050,4000,Supervisory
636,179070,4000,Supervisory
637,74940,4000,Supervisory
638,169020,4000,Supervisory
639,149160,4000,Supervisory
640,175050,4000,Supervisory
641,230860,4000,Supervisory
642,215080,4000,Supervisory
643,209160,4000,Supervisory
644,175050,4000,Supervisory
645,135080,4000,Supervisory
646,164940,4000,Supervisory
647,164970,4000,Supervisory
648,129020,4000,Supervisory
649,110920,4000,Supervisory
650,69110,5000,Supervisory
651,149100,5000,Supervisory
652,219040,5000,Supervisory
653,169130,5000,Supervisory
654,109120,5000,Supervisory
655,153980,5000,Supervisory
656,219100,5000,Supervisory
657,164050,5000,Supervisory
658,224070,5000,Supervisory
659,179070,5000,Supervisory
660,178980,5000,Supervisory
661,94010,5000,Supervisory
662,179070,5000,Supervisory
663,229040,5000,Supervisory
664,238940,5000,Supervisory
665,214040,5000,Supervisory
666,164100,5000,Supervisory
667,229080,5000,Supervisory
668,159110,5000,Supervisory
669,29080,5000,Supervisory
670,219100,5000,Supervisory
671,229040,5000,Supervisory
