,mean reward,Fail Probability,method
343,97020,90,SCT
344,147100,90,SCT
345,99060,90,SCT
346,59080,90,SCT
347,149130,90,SCT
348,147070,90,SCT
349,79060,90,SCT
350,109170,90,SCT
351,49000,90,SCT
352,4890,90,SCT
353,99000,90,SCT
354,98070,90,SCT
355,13820,90,SCT
356,68040,90,SCT
357,-55230,90,SCT
358,98130,90,SCT
359,95970,90,SCT
