,mean reward,Machine Cost,method
298,153000,300,Supervisory+RL
299,176900,300,Supervisory+RL
300,182690,400,Supervisory+RL
301,173480,400,Supervisory+RL
302,138880,400,Supervisory+RL
303,178880,400,Supervisory+RL
304,168270,400,Supervisory+RL
305,137480,400,Supervisory+RL
306,141080,400,Supervisory+RL
307,106480,400,Supervisory+RL
308,171280,400,Supervisory+RL
309,140270,400,Supervisory+RL
310,130270,400,Supervisory+RL
311,98880,400,Supervisory+RL
312,172270,400,Supervisory+RL
313,171880,400,Supervisory+RL
314,63090,400,Supervisory+RL
315,129070,400,Supervisory+RL
316,188680,400,Supervisory+RL
317,170470,400,Supervisory+RL
318,172670,400,Supervisory+RL
319,170880,400,Supervisory+RL
320,172270,400,Supervisory+RL
321,181080,400,Supervisory+RL
322,131280,400,Supervisory+RL
323,171280,400,Supervisory+RL
324,138880,400,Supervisory+RL
325,182690,400,Supervisory+RL
326,137270,400,Supervisory+RL
327,171280,400,Supervisory+RL
328,141480,400,Supervisory+RL
329,97670,400,Supervisory+RL
330,93480,400,Supervisory+RL
331,74280,400,Supervisory+RL
332,136470,400,Supervisory+RL
333,143490,400,Supervisory+RL
334,181080,400,Supervisory+RL
335,175870,400,Supervisory+RL
336,171080,400,Supervisory+RL
337,91480,400,Supervisory+RL
338,171690,400,Supervisory+RL
339,170680,400,Supervisory+RL
340,172280,400,Supervisory+RL
341,181480,400,Supervisory+RL
342,89280,400,Supervisory+RL
343,176680,400,Supervisory+RL
344,179070,400,Supervisory+RL
345,133270,400,Supervisory+RL
346,173880,400,Supervisory+RL
347,132270,400,Supervisory+RL
348,170470,400,Supervisory+RL
349,172670,400,Supervisory+RL
350,178380,500,Supervisory+RL
351,131880,500,Supervisory+RL
352,165380,500,Supervisory+RL
353,182390,500,Supervisory+RL
354,77370,500,Supervisory+RL
355,162870,500,Supervisory+RL
356,166890,500,Supervisory+RL
357,178380,500,Supervisory+RL
358,161880,500,Supervisory+RL
359,177890,500,Supervisory+RL
360,126880,500,Supervisory+RL
361,178870,500,Supervisory+RL
362,128880,500,Supervisory+RL
363,183390,500,Supervisory+RL
364,183890,500,Supervisory+RL
365,175880,500,Supervisory+RL
366,190390,500,Supervisory+RL
367,171880,500,Supervisory+RL
368,89390,500,Supervisory+RL
369,166880,500,Supervisory+RL
370,128890,500,Supervisory+RL
371,182380,500,Supervisory+RL
372,134880,500,Supervisory+RL
373,175890,500,Supervisory+RL
374,125370,500,Supervisory+RL
375,128890,500,Supervisory+RL
376,178380,500,Supervisory+RL
377,88390,500,Supervisory+RL
378,168880,500,Supervisory+RL
379,111890,500,Supervisory+RL
380,178380,500,Supervisory+RL
381,176880,500,Supervisory+RL
382,171390,500,Supervisory+RL
383,182390,500,Supervisory+RL
384,134390,500,Supervisory+RL
385,132880,500,Supervisory+RL
386,130880,500,Supervisory+RL
387,127380,500,Supervisory+RL
388,166880,500,Supervisory+RL
389,128390,500,Supervisory+RL
390,183900,500,Supervisory+RL
391,183390,500,Supervisory+RL
392,176390,500,Supervisory+RL
393,142380,500,Supervisory+RL
394,177360,500,Supervisory+RL
395,129890,500,Supervisory+RL
396,177370,500,Supervisory+RL
397,135890,500,Supervisory+RL
398,134390,500,Supervisory+RL
399,96890,500,Supervisory+RL
400,76890,1000,Supervisory+RL
401,141880,1000,Supervisory+RL
402,99880,1000,Supervisory+RL
403,90880,1000,Supervisory+RL
404,126870,1000,Supervisory+RL
405,135870,1000,Supervisory+RL
406,138880,1000,Supervisory+RL
407,146890,1000,Supervisory+RL
408,66870,1000,Supervisory+RL
409,145880,1000,Supervisory+RL
410,144880,1000,Supervisory+RL
411,96880,1000,Supervisory+RL
412,101880,1000,Supervisory+RL
413,99880,1000,Supervisory+RL
414,83900,1000,Supervisory+RL
415,95870,1000,Supervisory+RL
416,133890,1000,Supervisory+RL
417,81880,1000,Supervisory+RL
418,93880,1000,Supervisory+RL
419,137880,1000,Supervisory+RL
420,101880,1000,Supervisory+RL
421,45890,1000,Supervisory+RL
422,143900,1000,Supervisory+RL
423,151900,1000,Supervisory+RL
424,130880,1000,Supervisory+RL
425,133880,1000,Supervisory+RL
426,145880,1000,Supervisory+RL
427,140890,1000,Supervisory+RL
428,131880,1000,Supervisory+RL
429,141880,1000,Supervisory+RL
430,92890,1000,Supervisory+RL
431,39880,1000,Supervisory+RL
432,132890,1000,Supervisory+RL
433,91880,1000,Supervisory+RL
434,150890,1000,Supervisory+RL
435,129880,1000,Supervisory+RL
436,127880,1000,Supervisory+RL
437,151890,1000,Supervisory+RL
438,70880,1000,Supervisory+RL
439,138880,1000,Supervisory+RL
440,137880,1000,Supervisory+RL
441,146890,1000,Supervisory+RL
442,136890,1000,Supervisory+RL
443,150890,1000,Supervisory+RL
444,128870,1000,Supervisory+RL
445,138880,1000,Supervisory+RL
446,145890,1000,Supervisory+RL
447,143880,1000,Supervisory+RL
448,96890,1000,Supervisory+RL
449,140890,1000,Supervisory+RL
450,179020,10,Supervisory
451,-42040,10,Supervisory
452,139090,10,Supervisory
453,179100,10,Supervisory
454,178980,10,Supervisory
455,119070,10,Supervisory
456,219090,10,Supervisory
457,178020,10,Supervisory
458,219060,10,Supervisory
459,227970,10,Supervisory
460,108070,10,Supervisory
461,109000,10,Supervisory
462,77970,10,Supervisory
463,98070,10,Supervisory
464,227960,10,Supervisory
465,159100,10,Supervisory
466,127980,10,Supervisory
467,179080,10,Supervisory
468,169000,10,Supervisory
469,177860,10,Supervisory
470,169020,10,Supervisory
471,68980,10,Supervisory
472,107980,10,Supervisory
473,197990,10,Supervisory
474,228010,10,Supervisory
475,188970,10,Supervisory
476,239020,10,Supervisory
477,128050,10,Supervisory
478,158090,10,Supervisory
479,79100,10,Supervisory
480,46970,10,Supervisory
481,169160,10,Supervisory
482,118910,10,Supervisory
483,169130,10,Supervisory
484,237950,10,Supervisory
485,179070,10,Supervisory
486,178990,10,Supervisory
487,167970,10,Supervisory
488,189080,10,Supervisory
489,229090,10,Supervisory
490,129020,10,Supervisory
491,197900,10,Supervisory
492,189050,10,Supervisory
493,227970,10,Supervisory
494,219130,10,Supervisory
495,99050,10,Supervisory
496,237970,10,Supervisory
497,149160,10,Supervisory
498,159030,10,Supervisory
499,187990,10,Supervisory
500,163590,50,Supervisory
501,214830,50,Supervisory
502,115680,50,Supervisory
503,216140,50,Supervisory
504,114630,50,Supervisory
505,74580,50,Supervisory
506,164630,50,Supervisory
507,193130,50,Supervisory
508,172930,50,Supervisory
509,115240,50,Supervisory
510,131780,50,Supervisory
511,125680,50,Supervisory
512,185680,50,Supervisory
513,185940,50,Supervisory
514,165380,50,Supervisory
515,214790,50,Supervisory
516,205980,50,Supervisory
517,215830,50,Supervisory
518,164490,50,Supervisory
519,174230,50,Supervisory
520,65530,50,Supervisory
521,114790,50,Supervisory
522,165640,50,Supervisory
523,185480,50,Supervisory
524,184380,50,Supervisory
525,166280,50,Supervisory
526,104790,50,Supervisory
527,235340,50,Supervisory
528,175940,50,Supervisory
529,175870,50,Supervisory
530,165680,50,Supervisory
531,215670,50,Supervisory
532,224540,50,Supervisory
533,224480,50,Supervisory
534,116240,50,Supervisory
535,175170,50,Supervisory
536,116030,50,Supervisory
537,185540,50,Supervisory
538,124830,50,Supervisory
539,163340,50,Supervisory
540,173320,50,Supervisory
541,95940,50,Supervisory
542,175570,50,Supervisory
543,235480,50,Supervisory
544,165520,50,Supervisory
545,115980,50,Supervisory
546,225420,50,Supervisory
547,125570,50,Supervisory
548,135830,50,Supervisory
549,115780,50,Supervisory
550,101480,100,Supervisory
551,170570,100,Supervisory
552,108080,100,Supervisory
553,212180,100,Supervisory
554,151870,100,Supervisory
555,112380,100,Supervisory
556,171680,100,Supervisory
557,222100,100,Supervisory
558,211370,100,Supervisory
559,112280,100,Supervisory
560,178880,100,Supervisory
561,121680,100,Supervisory
562,162680,100,Supervisory
563,181080,100,Supervisory
564,77970,100,Supervisory
565,221280,100,Supervisory
566,210380,100,Supervisory
567,171770,100,Supervisory
568,221390,100,Supervisory
569,87280,100,Supervisory
570,220980,100,Supervisory
571,89580,100,Supervisory
572,202390,100,Supervisory
573,190980,100,Supervisory
574,169580,100,Supervisory
575,51780,100,Supervisory
576,91990,100,Supervisory
577,151790,100,Supervisory
578,162680,100,Supervisory
579,170570,100,Supervisory
580,161480,100,Supervisory
581,142280,100,Supervisory
582,168780,100,Supervisory
583,192770,100,Supervisory
584,150290,100,Supervisory
585,121380,100,Supervisory
586,119170,100,Supervisory
587,180570,100,Supervisory
588,121370,100,Supervisory
589,121390,100,Supervisory
590,229970,100,Supervisory
591,202470,100,Supervisory
592,218880,100,Supervisory
593,140970,100,Supervisory
594,122590,100,Supervisory
595,172190,100,Supervisory
596,77470,100,Supervisory
597,170780,100,Supervisory
598,231390,100,Supervisory
599,160970,100,Supervisory
600,99230,150,Supervisory
601,97440,150,Supervisory
602,107870,150,Supervisory
603,216070,150,Supervisory
604,176520,150,Supervisory
605,167570,150,Supervisory
606,117490,150,Supervisory
607,126680,150,Supervisory
608,155080,150,Supervisory
609,225930,150,Supervisory
610,207580,150,Supervisory
611,216130,150,Supervisory
612,146970,150,Supervisory
613,153770,150,Supervisory
614,216130,150,Supervisory
615,127430,150,Supervisory
616,177580,150,Supervisory
617,146590,150,Supervisory
618,207190,150,Supervisory
619,153230,150,Supervisory
620,198780,150,Supervisory
621,145520,150,Supervisory
622,147720,150,Supervisory
623,126380,150,Supervisory
624,158470,150,Supervisory
625,127740,150,Supervisory
626,136840,150,Supervisory
627,134470,150,Supervisory
628,168940,150,Supervisory
629,166380,150,Supervisory
630,217740,150,Supervisory
631,175230,150,Supervisory
632,205520,150,Supervisory
633,177430,150,Supervisory
634,172490,150,Supervisory
635,165680,150,Supervisory
636,116680,150,Supervisory
637,158190,150,Supervisory
638,148340,150,Supervisory
639,216520,150,Supervisory
640,147730,150,Supervisory
641,118780,150,Supervisory
642,85290,150,Supervisory
643,100790,150,Supervisory
644,166730,150,Supervisory
645,108020,150,Supervisory
646,158040,150,Supervisory
647,96520,150,Supervisory
648,67430,150,Supervisory
649,105290,150,Supervisory
650,201080,200,Supervisory
651,201480,200,Supervisory
652,142680,200,Supervisory
653,72470,200,Supervisory
654,101870,200,Supervisory
655,158270,200,Supervisory
656,52880,200,Supervisory
657,122870,200,Supervisory
658,152690,200,Supervisory
659,100890,200,Supervisory
660,203690,200,Supervisory
661,142870,200,Supervisory
662,203690,200,Supervisory
663,138870,200,Supervisory
664,91480,200,Supervisory
665,152890,200,Supervisory
666,53280,200,Supervisory
667,204280,200,Supervisory
668,201670,200,Supervisory
669,171680,200,Supervisory
670,211480,200,Supervisory
671,104890,200,Supervisory
672,161680,200,Supervisory
673,153880,200,Supervisory
674,169080,200,Supervisory
675,123680,200,Supervisory
676,160670,200,Supervisory
677,211870,200,Supervisory
678,194280,200,Supervisory
679,103870,200,Supervisory
680,152680,200,Supervisory
681,152480,200,Supervisory
682,63690,200,Supervisory
683,212280,200,Supervisory
684,59870,200,Supervisory
685,173680,200,Supervisory
686,212670,200,Supervisory
687,131280,200,Supervisory
688,42080,200,Supervisory
689,201060,200,Supervisory
690,200680,200,Supervisory
691,204080,200,Supervisory
692,92480,200,Supervisory
693,204890,200,Supervisory
694,194880,200,Supervisory
695,204280,200,Supervisory
696,162490,200,Supervisory
697,153470,200,Supervisory
698,209080,200,Supervisory
699,193870,200,Supervisory
700,95400,300,Supervisory
701,139400,300,Supervisory
702,201200,300,Supervisory
703,80000,300,Supervisory
704,169700,300,Supervisory
705,80000,300,Supervisory
706,202400,300,Supervisory
707,162400,300,Supervisory
708,140000,300,Supervisory
709,183600,300,Supervisory
710,102400,300,Supervisory
711,150600,300,Supervisory
712,160300,300,Supervisory
713,202400,300,Supervisory
714,150600,300,Supervisory
715,185400,300,Supervisory
716,99100,300,Supervisory
717,170600,300,Supervisory
718,200900,300,Supervisory
719,151800,300,Supervisory
720,189100,300,Supervisory
721,93000,300,Supervisory
722,143300,300,Supervisory
723,110600,300,Supervisory
724,139700,300,Supervisory
725,133000,300,Supervisory
726,153000,300,Supervisory
727,122100,300,Supervisory
728,101500,300,Supervisory
729,193300,300,Supervisory
730,133600,300,Supervisory
731,113000,300,Supervisory
732,20600,300,Supervisory
733,185400,300,Supervisory
734,140000,300,Supervisory
735,153300,300,Supervisory
736,106100,300,Supervisory
737,201200,300,Supervisory
738,-7000,300,Supervisory
739,170600,300,Supervisory
740,193000,300,Supervisory
741,131800,300,Supervisory
742,40000,300,Supervisory
743,160900,300,Supervisory
744,142400,300,Supervisory
745,133600,300,Supervisory
746,61500,300,Supervisory
747,103000,300,Supervisory
748,120300,300,Supervisory
749,98200,300,Supervisory
750,201680,400,Supervisory
751,127080,400,Supervisory
752,57260,400,Supervisory
753,162890,400,Supervisory
754,149870,400,Supervisory
755,176070,400,Supervisory
756,88680,400,Supervisory
757,187880,400,Supervisory
758,140690,400,Supervisory
759,118280,400,Supervisory
760,195070,400,Supervisory
761,133690,400,Supervisory
762,180280,400,Supervisory
763,195090,400,Supervisory
764,139080,400,Supervisory
765,179270,400,Supervisory
766,138290,400,Supervisory
767,107080,400,Supervisory
768,201490,400,Supervisory
769,185870,400,Supervisory
770,155480,400,Supervisory
771,154080,400,Supervisory
772,91090,400,Supervisory
773,193890,400,Supervisory
774,99470,400,Supervisory
775,127890,400,Supervisory
776,126260,400,Supervisory
777,188680,400,Supervisory
778,147490,400,Supervisory
779,175680,400,Supervisory
780,131070,400,Supervisory
781,183270,400,Supervisory
782,139080,400,Supervisory
783,148290,400,Supervisory
784,139870,400,Supervisory
785,92870,400,Supervisory
786,135090,400,Supervisory
787,202890,400,Supervisory
788,196280,400,Supervisory
789,80670,400,Supervisory
790,60890,400,Supervisory
791,135070,400,Supervisory
792,148680,400,Supervisory
793,99890,400,Supervisory
794,128270,400,Supervisory
795,143490,400,Supervisory
796,185270,400,Supervisory
797,191470,400,Supervisory
798,26290,400,Supervisory
799,189480,400,Supervisory
800,176870,500,Supervisory
801,92380,500,Supervisory
802,186380,500,Supervisory
803,181880,500,Supervisory
804,133880,500,Supervisory
805,147390,500,Supervisory
806,192380,500,Supervisory
807,184370,500,Supervisory
808,-43630,500,Supervisory
809,139880,500,Supervisory
810,62880,500,Supervisory
811,185370,500,Supervisory
812,144370,500,Supervisory
813,187880,500,Supervisory
