,mean reward,Rejection Type 1 Probability,method
221,199280,50.0,Supervisory+RL
222,159230,50.0,Supervisory+RL
223,159230,50.0,Supervisory+RL
224,159220,50.0,Supervisory+RL
225,199200,50.0,Supervisory+RL
226,159210,50.0,Supervisory+RL
227,199160,50.0,Supervisory+RL
228,159180,50.0,Supervisory+RL
229,118150,50.0,Supervisory+RL
230,159180,50.0,Supervisory+RL
231,158210,50.0,Supervisory+RL
232,198210,50.0,Supervisory+RL
233,199180,50.0,Supervisory+RL
234,199140,50.0,Supervisory+RL
235,198140,50.0,Supervisory+RL
236,158200,50.0,Supervisory+RL
237,159240,50.0,Supervisory+RL
238,199280,50.0,Supervisory+RL
239,199230,50.0,Supervisory+RL
240,118130,50.0,Supervisory+RL
241,199220,50.0,Supervisory+RL
242,79240,50.0,Supervisory+RL
243,159240,50.0,Supervisory+RL
244,199220,50.0,Supervisory+RL
245,159220,50.0,Supervisory+RL
246,159230,50.0,Supervisory+RL
247,118200,50.0,Supervisory+RL
248,199180,50.0,Supervisory+RL
249,159260,50.0,Supervisory+RL
250,199180,60.0,Supervisory+RL
251,199220,60.0,Supervisory+RL
252,198150,60.0,Supervisory+RL
253,198160,60.0,Supervisory+RL
254,198150,60.0,Supervisory+RL
255,199120,60.0,Supervisory+RL
256,199160,60.0,Supervisory+RL
257,199170,60.0,Supervisory+RL
258,159160,60.0,Supervisory+RL
259,198120,60.0,Supervisory+RL
260,199220,60.0,Supervisory+RL
261,79190,60.0,Supervisory+RL
262,199180,60.0,Supervisory+RL
263,198190,60.0,Supervisory+RL
264,198190,60.0,Supervisory+RL
265,159220,60.0,Supervisory+RL
266,197160,60.0,Supervisory+RL
267,199220,60.0,Supervisory+RL
268,199190,60.0,Supervisory+RL
269,199220,60.0,Supervisory+RL
270,198190,60.0,Supervisory+RL
271,195070,60.0,Supervisory+RL
272,198120,60.0,Supervisory+RL
273,159140,60.0,Supervisory+RL
274,158190,60.0,Supervisory+RL
275,198140,60.0,Supervisory+RL
276,198190,60.0,Supervisory+RL
277,198190,60.0,Supervisory+RL
278,197160,60.0,Supervisory+RL
279,199220,60.0,Supervisory+RL
280,198190,60.0,Supervisory+RL
281,197110,60.0,Supervisory+RL
