,mean reward,Rejection Type 1 Probability,method
352,158190,80.0,Supervisory+RL
353,198190,80.0,Supervisory+RL
354,158070,80.0,Supervisory+RL
355,103870,80.0,Supervisory+RL
356,149160,80.0,Supervisory+RL
357,148130,80.0,Supervisory+RL
358,159230,80.0,Supervisory+RL
359,199230,80.0,Supervisory+RL
360,100800,80.0,Supervisory+RL
361,158040,80.0,Supervisory+RL
362,198140,80.0,Supervisory+RL
363,168100,80.0,Supervisory+RL
364,196130,80.0,Supervisory+RL
365,199190,80.0,Supervisory+RL
366,158170,80.0,Supervisory+RL
367,208130,80.0,Supervisory+RL
368,199190,80.0,Supervisory+RL
369,106060,80.0,Supervisory+RL
370,199200,80.0,Supervisory+RL
371,198190,80.0,Supervisory+RL
372,199220,80.0,Supervisory+RL
373,159230,80.0,Supervisory+RL
374,199220,80.0,Supervisory+RL
375,92890,80.0,Supervisory+RL
376,159170,80.0,Supervisory+RL
377,158190,80.0,Supervisory+RL
378,197160,80.0,Supervisory+RL
379,147100,80.0,Supervisory+RL
380,115080,80.0,Supervisory+RL
381,197140,80.0,Supervisory+RL
382,208090,80.0,Supervisory+RL
383,198190,80.0,Supervisory+RL
384,143910,80.0,Supervisory+RL
385,197130,80.0,Supervisory+RL
386,199180,80.0,Supervisory+RL
387,198190,80.0,Supervisory+RL
388,159120,80.0,Supervisory+RL
389,198130,80.0,Supervisory+RL
390,199220,80.0,Supervisory+RL
391,-38210,80.0,Supervisory+RL
392,199190,80.0,Supervisory+RL
393,199180,80.0,Supervisory+RL
394,198150,80.0,Supervisory+RL
395,24920,80.0,Supervisory+RL
396,159220,80.0,Supervisory+RL
397,199130,80.0,Supervisory+RL
398,198170,80.0,Supervisory+RL
399,198190,80.0,Supervisory+RL
400,199170,90.0,Supervisory+RL
401,157160,90.0,Supervisory+RL
402,158130,90.0,Supervisory+RL
403,199220,90.0,Supervisory+RL
404,198150,90.0,Supervisory+RL
405,199180,90.0,Supervisory+RL
406,159180,90.0,Supervisory+RL
407,198190,90.0,Supervisory+RL
408,198190,90.0,Supervisory+RL
409,118100,90.0,Supervisory+RL
410,158190,90.0,Supervisory+RL
411,199220,90.0,Supervisory+RL
412,197080,90.0,Supervisory+RL
413,199220,90.0,Supervisory+RL
414,199220,90.0,Supervisory+RL
415,199180,90.0,Supervisory+RL
416,199190,90.0,Supervisory+RL
417,198200,90.0,Supervisory+RL
418,198190,90.0,Supervisory+RL
419,199220,90.0,Supervisory+RL
420,199220,90.0,Supervisory+RL
421,199240,90.0,Supervisory+RL
422,199230,90.0,Supervisory+RL
423,197160,90.0,Supervisory+RL
424,199180,90.0,Supervisory+RL
425,198150,90.0,Supervisory+RL
426,199220,90.0,Supervisory+RL
427,118160,90.0,Supervisory+RL
428,157130,90.0,Supervisory+RL
429,198190,90.0,Supervisory+RL
430,199180,90.0,Supervisory+RL
431,198200,90.0,Supervisory+RL
432,156130,90.0,Supervisory+RL
433,157160,90.0,Supervisory+RL
434,198190,90.0,Supervisory+RL
435,199180,90.0,Supervisory+RL
436,198150,90.0,Supervisory+RL
437,159220,90.0,Supervisory+RL
438,199220,90.0,Supervisory+RL
439,118210,90.0,Supervisory+RL
440,198190,90.0,Supervisory+RL
441,197130,90.0,Supervisory+RL
442,159220,90.0,Supervisory+RL
443,157090,90.0,Supervisory+RL
444,199230,90.0,Supervisory+RL
445,159190,90.0,Supervisory+RL
446,158150,90.0,Supervisory+RL
447,198200,90.0,Supervisory+RL
448,199200,90.0,Supervisory+RL
449,197160,90.0,Supervisory+RL
450,228970,10.0,Supervisory
451,219100,10.0,Supervisory
452,217020,10.0,Supervisory
453,168010,10.0,Supervisory
454,218030,10.0,Supervisory
455,139070,10.0,Supervisory
456,158030,10.0,Supervisory
457,239000,10.0,Supervisory
458,238930,10.0,Supervisory
459,129110,10.0,Supervisory
460,219060,10.0,Supervisory
461,209140,10.0,Supervisory
462,219150,10.0,Supervisory
463,189020,10.0,Supervisory
464,197950,10.0,Supervisory
465,168960,10.0,Supervisory
466,169150,10.0,Supervisory
467,179080,10.0,Supervisory
468,189000,10.0,Supervisory
469,129110,10.0,Supervisory
470,209090,10.0,Supervisory
471,217990,10.0,Supervisory
472,189020,10.0,Supervisory
473,139070,10.0,Supervisory
474,218070,10.0,Supervisory
475,129170,10.0,Supervisory
476,179040,10.0,Supervisory
477,219060,10.0,Supervisory
478,188080,10.0,Supervisory
479,219060,10.0,Supervisory
480,228990,10.0,Supervisory
481,199010,10.0,Supervisory
482,189110,10.0,Supervisory
483,149100,10.0,Supervisory
484,229010,10.0,Supervisory
485,229040,10.0,Supervisory
486,188010,10.0,Supervisory
487,189100,10.0,Supervisory
488,179040,10.0,Supervisory
489,229060,10.0,Supervisory
490,139100,10.0,Supervisory
491,178990,10.0,Supervisory
492,219100,10.0,Supervisory
493,228960,10.0,Supervisory
494,179070,10.0,Supervisory
495,219050,10.0,Supervisory
496,179020,10.0,Supervisory
497,159100,10.0,Supervisory
498,219060,10.0,Supervisory
499,229010,10.0,Supervisory
500,207910,20.0,Supervisory
