,mean reward,Machine Cost,method
266,175500,500,Supervisory+RL
267,142000,500,Supervisory+RL
268,126000,500,Supervisory+RL
269,173500,500,Supervisory+RL
270,182500,500,Supervisory+RL
271,164000,500,Supervisory+RL
272,121000,500,Supervisory+RL
273,110000,500,Supervisory+RL
274,118000,500,Supervisory+RL
275,165500,500,Supervisory+RL
276,177000,500,Supervisory+RL
277,166000,500,Supervisory+RL
278,135000,500,Supervisory+RL
279,114500,500,Supervisory+RL
280,182500,500,Supervisory+RL
281,130000,500,Supervisory+RL
282,114500,500,Supervisory+RL
283,189500,500,Supervisory+RL
284,112000,500,Supervisory+RL
285,124500,500,Supervisory+RL
286,185000,500,Supervisory+RL
287,175000,500,Supervisory+RL
288,128000,500,Supervisory+RL
289,97000,500,Supervisory+RL
290,172500,500,Supervisory+RL
291,180000,500,Supervisory+RL
292,129000,500,Supervisory+RL
293,126000,500,Supervisory+RL
294,178000,500,Supervisory+RL
295,164500,500,Supervisory+RL
296,110500,500,Supervisory+RL
297,119500,500,Supervisory+RL
298,178000,500,Supervisory+RL
299,173500,500,Supervisory+RL
300,109000,600,Supervisory+RL
301,157400,600,Supervisory+RL
302,110800,600,Supervisory+RL
303,151400,600,Supervisory+RL
304,149600,600,Supervisory+RL
305,153200,600,Supervisory+RL
306,110200,600,Supervisory+RL
307,153800,600,Supervisory+RL
308,109000,600,Supervisory+RL
309,156800,600,Supervisory+RL
310,72000,600,Supervisory+RL
311,112000,600,Supervisory+RL
312,119000,600,Supervisory+RL
313,153200,600,Supervisory+RL
314,153200,600,Supervisory+RL
315,149200,600,Supervisory+RL
316,114400,600,Supervisory+RL
317,95000,600,Supervisory+RL
318,152000,600,Supervisory+RL
319,148600,600,Supervisory+RL
320,72000,600,Supervisory+RL
321,156000,600,Supervisory+RL
322,152000,600,Supervisory+RL
323,152000,600,Supervisory+RL
324,159000,600,Supervisory+RL
325,150800,600,Supervisory+RL
326,155400,600,Supervisory+RL
327,119600,600,Supervisory+RL
328,112600,600,Supervisory+RL
329,150800,600,Supervisory+RL
330,151400,600,Supervisory+RL
331,156200,600,Supervisory+RL
332,109200,600,Supervisory+RL
333,96800,600,Supervisory+RL
334,30800,600,Supervisory+RL
335,156800,600,Supervisory+RL
336,73200,600,Supervisory+RL
337,118400,600,Supervisory+RL
338,111000,600,Supervisory+RL
339,150800,600,Supervisory+RL
340,119600,600,Supervisory+RL
341,113200,600,Supervisory+RL
342,113200,600,Supervisory+RL
343,119600,600,Supervisory+RL
344,83200,600,Supervisory+RL
345,87800,600,Supervisory+RL
346,152600,600,Supervisory+RL
347,150800,600,Supervisory+RL
348,119000,600,Supervisory+RL
349,159600,600,Supervisory+RL
350,145000,700,Supervisory+RL
351,157600,700,Supervisory+RL
352,31400,700,Supervisory+RL
353,160500,700,Supervisory+RL
354,112900,700,Supervisory+RL
355,97600,700,Supervisory+RL
356,90800,700,Supervisory+RL
357,113900,700,Supervisory+RL
358,108000,700,Supervisory+RL
359,124200,700,Supervisory+RL
360,153500,700,Supervisory+RL
361,161800,700,Supervisory+RL
362,153800,700,Supervisory+RL
363,95000,700,Supervisory+RL
364,159800,700,Supervisory+RL
365,93500,700,Supervisory+RL
366,110900,700,Supervisory+RL
367,95400,700,Supervisory+RL
368,95300,700,Supervisory+RL
369,146600,700,Supervisory+RL
370,150700,700,Supervisory+RL
371,159700,700,Supervisory+RL
372,157700,700,Supervisory+RL
373,159700,700,Supervisory+RL
374,111100,700,Supervisory+RL
375,157000,700,Supervisory+RL
376,90800,700,Supervisory+RL
377,157700,700,Supervisory+RL
378,156600,700,Supervisory+RL
379,153500,700,Supervisory+RL
380,167700,700,Supervisory+RL
381,141900,700,Supervisory+RL
382,157300,700,Supervisory+RL
383,71200,700,Supervisory+RL
384,150800,700,Supervisory+RL
385,157000,700,Supervisory+RL
386,152400,700,Supervisory+RL
387,147300,700,Supervisory+RL
388,154600,700,Supervisory+RL
389,156300,700,Supervisory+RL
390,103100,700,Supervisory+RL
391,100300,700,Supervisory+RL
392,160400,700,Supervisory+RL
393,94600,700,Supervisory+RL
394,154900,700,Supervisory+RL
395,158400,700,Supervisory+RL
396,96600,700,Supervisory+RL
397,153600,700,Supervisory+RL
398,159700,700,Supervisory+RL
399,106000,700,Supervisory+RL
400,153200,800,Supervisory+RL
401,144600,800,Supervisory+RL
402,139400,800,Supervisory+RL
403,142000,800,Supervisory+RL
404,98400,800,Supervisory+RL
405,159000,800,Supervisory+RL
406,104600,800,Supervisory+RL
407,140200,800,Supervisory+RL
408,159600,800,Supervisory+RL
409,146400,800,Supervisory+RL
410,52800,800,Supervisory+RL
411,158000,800,Supervisory+RL
412,92600,800,Supervisory+RL
413,146400,800,Supervisory+RL
414,88000,800,Supervisory+RL
415,150600,800,Supervisory+RL
416,112400,800,Supervisory+RL
417,107200,800,Supervisory+RL
418,104800,800,Supervisory+RL
419,150600,800,Supervisory+RL
