,mean reward,Rejection Type 1 Cost,method
360,199150,37500,Supervisory+RL
361,198200,37500,Supervisory+RL
362,178110,37500,Supervisory+RL
363,151600,37500,Supervisory+RL
364,199180,37500,Supervisory+RL
365,214980,37500,Supervisory+RL
366,208050,37500,Supervisory+RL
367,167060,37500,Supervisory+RL
368,209130,37500,Supervisory+RL
369,168210,37500,Supervisory+RL
370,199180,37500,Supervisory+RL
371,199200,37500,Supervisory+RL
372,209160,37500,Supervisory+RL
373,199180,37500,Supervisory+RL
374,219000,37500,Supervisory+RL
375,209190,37500,Supervisory+RL
376,209160,37500,Supervisory+RL
377,218070,37500,Supervisory+RL
378,198190,37500,Supervisory+RL
379,150510,37500,Supervisory+RL
380,218140,37500,Supervisory+RL
381,208080,37500,Supervisory+RL
382,168130,37500,Supervisory+RL
383,207100,37500,Supervisory+RL
384,128140,37500,Supervisory+RL
385,209210,37500,Supervisory+RL
386,208130,37500,Supervisory+RL
387,209160,37500,Supervisory+RL
388,199130,37500,Supervisory+RL
389,169170,37500,Supervisory+RL
390,219050,37500,Supervisory+RL
391,217050,37500,Supervisory+RL
392,209230,37500,Supervisory+RL
393,218030,37500,Supervisory+RL
394,218070,37500,Supervisory+RL
395,168100,37500,Supervisory+RL
396,208210,37500,Supervisory+RL
397,218130,37500,Supervisory+RL
398,218060,37500,Supervisory+RL
399,100630,37500,Supervisory+RL
400,209220,40000,Supervisory+RL
401,199200,40000,Supervisory+RL
402,167140,40000,Supervisory+RL
403,207110,40000,Supervisory+RL
404,89180,40000,Supervisory+RL
405,159220,40000,Supervisory+RL
406,198190,40000,Supervisory+RL
407,159240,40000,Supervisory+RL
408,166070,40000,Supervisory+RL
409,199220,40000,Supervisory+RL
410,209100,40000,Supervisory+RL
411,209160,40000,Supervisory+RL
412,209230,40000,Supervisory+RL
413,159220,40000,Supervisory+RL
414,199220,40000,Supervisory+RL
415,158190,40000,Supervisory+RL
416,167060,40000,Supervisory+RL
417,219140,40000,Supervisory+RL
418,199220,40000,Supervisory+RL
419,208070,40000,Supervisory+RL
420,207100,40000,Supervisory+RL
421,207100,40000,Supervisory+RL
422,199220,40000,Supervisory+RL
423,197160,40000,Supervisory+RL
424,218050,40000,Supervisory+RL
425,197180,40000,Supervisory+RL
426,218020,40000,Supervisory+RL
427,79160,40000,Supervisory+RL
428,209220,40000,Supervisory+RL
429,199220,40000,Supervisory+RL
430,139120,40000,Supervisory+RL
431,179070,40000,Supervisory+RL
432,169100,40000,Supervisory+RL
433,198190,40000,Supervisory+RL
434,218090,40000,Supervisory+RL
435,218050,40000,Supervisory+RL
436,219100,40000,Supervisory+RL
437,198160,40000,Supervisory+RL
438,209140,40000,Supervisory+RL
439,199170,40000,Supervisory+RL
440,219100,40000,Supervisory+RL
441,208100,40000,Supervisory+RL
