,mean reward,Approval Type 1 Cost,method
445,178070,30000,Supervisory+RL
446,257980,30000,Supervisory+RL
447,219020,30000,Supervisory+RL
448,178180,30000,Supervisory+RL
449,159220,30000,Supervisory+RL
450,99040,30000,Supervisory
451,159090,30000,Supervisory
452,119050,30000,Supervisory
453,148950,30000,Supervisory
454,199060,30000,Supervisory
455,118990,30000,Supervisory
456,159070,30000,Supervisory
457,199150,30000,Supervisory
458,109100,30000,Supervisory
459,198940,30000,Supervisory
460,199000,30000,Supervisory
461,108010,30000,Supervisory
462,99020,30000,Supervisory
463,199170,30000,Supervisory
464,108030,30000,Supervisory
465,199110,30000,Supervisory
466,159120,30000,Supervisory
467,59040,30000,Supervisory
468,97920,30000,Supervisory
469,159080,30000,Supervisory
470,158960,30000,Supervisory
471,108940,30000,Supervisory
472,159070,30000,Supervisory
473,149070,30000,Supervisory
474,119100,30000,Supervisory
475,149060,30000,Supervisory
476,109050,30000,Supervisory
477,159100,30000,Supervisory
478,149000,30000,Supervisory
479,199080,30000,Supervisory
480,159000,30000,Supervisory
481,149090,30000,Supervisory
482,99060,30000,Supervisory
483,159060,30000,Supervisory
484,69010,30000,Supervisory
485,119030,30000,Supervisory
486,119180,30000,Supervisory
487,199060,30000,Supervisory
488,159160,30000,Supervisory
489,59140,30000,Supervisory
490,149050,30000,Supervisory
491,96940,30000,Supervisory
492,59040,30000,Supervisory
493,148970,30000,Supervisory
494,198880,30000,Supervisory
495,149090,30000,Supervisory
496,198020,30000,Supervisory
497,148950,30000,Supervisory
498,109050,30000,Supervisory
499,109140,30000,Supervisory
500,71630,30000,Supervisory
501,171420,30000,Supervisory
502,154120,30000,Supervisory
503,111560,30000,Supervisory
504,164060,30000,Supervisory
505,66390,30000,Supervisory
506,111570,30000,Supervisory
507,166580,30000,Supervisory
508,204050,30000,Supervisory
509,164080,30000,Supervisory
510,161620,30000,Supervisory
511,60420,30000,Supervisory
512,81690,30000,Supervisory
513,161660,30000,Supervisory
514,111600,30000,Supervisory
515,206490,30000,Supervisory
516,114060,30000,Supervisory
517,205510,30000,Supervisory
518,208970,30000,Supervisory
519,125450,30000,Supervisory
520,161660,30000,Supervisory
521,57000,30000,Supervisory
522,71550,30000,Supervisory
523,108870,30000,Supervisory
524,154040,30000,Supervisory
525,154100,30000,Supervisory
526,111600,30000,Supervisory
527,114040,30000,Supervisory
528,84110,30000,Supervisory
529,208890,30000,Supervisory
530,120590,30000,Supervisory
531,203070,30000,Supervisory
532,165510,30000,Supervisory
533,125570,30000,Supervisory
534,166520,30000,Supervisory
535,205480,30000,Supervisory
536,165470,30000,Supervisory
537,114030,30000,Supervisory
538,165510,30000,Supervisory
539,111580,30000,Supervisory
540,204100,30000,Supervisory
541,204080,30000,Supervisory
542,169010,30000,Supervisory
543,161610,30000,Supervisory
544,154000,30000,Supervisory
545,154040,30000,Supervisory
546,204070,30000,Supervisory
547,164100,30000,Supervisory
548,71850,30000,Supervisory
549,71670,30000,Supervisory
550,213980,30000,Supervisory
551,209110,30000,Supervisory
552,159000,30000,Supervisory
553,211940,30000,Supervisory
554,124160,30000,Supervisory
555,159060,30000,Supervisory
556,109120,30000,Supervisory
557,169140,30000,Supervisory
558,178970,30000,Supervisory
559,63980,30000,Supervisory
560,209000,30000,Supervisory
561,89100,30000,Supervisory
562,12960,30000,Supervisory
563,113110,30000,Supervisory
564,213010,30000,Supervisory
565,179010,30000,Supervisory
566,129070,30000,Supervisory
567,69090,30000,Supervisory
568,218980,30000,Supervisory
569,214040,30000,Supervisory
570,157970,30000,Supervisory
571,206980,30000,Supervisory
572,209040,30000,Supervisory
573,214010,30000,Supervisory
574,214050,30000,Supervisory
575,114090,30000,Supervisory
576,118990,30000,Supervisory
577,154060,30000,Supervisory
578,148130,30000,Supervisory
579,219050,30000,Supervisory
580,178980,30000,Supervisory
581,208990,30000,Supervisory
582,158050,30000,Supervisory
