,mean reward,Rework Cost,method
228,219100,5000,Supervisory+RL
229,79000,5000,Supervisory+RL
230,149040,5000,Supervisory+RL
231,114050,5000,Supervisory+RL
232,204130,5000,Supervisory+RL
233,194070,5000,Supervisory+RL
234,204010,5000,Supervisory+RL
235,219120,5000,Supervisory+RL
236,209080,5000,Supervisory+RL
237,18980,5000,Supervisory+RL
238,124100,5000,Supervisory+RL
239,224010,5000,Supervisory+RL
240,219010,5000,Supervisory+RL
241,214030,5000,Supervisory+RL
242,139100,5000,Supervisory+RL
243,219110,5000,Supervisory+RL
244,134070,5000,Supervisory+RL
245,209020,5000,Supervisory+RL
246,209170,5000,Supervisory+RL
247,214070,5000,Supervisory+RL
248,219060,5000,Supervisory+RL
249,178980,5000,Supervisory+RL
250,199220,6000,Supervisory+RL
251,193190,6000,Supervisory+RL
252,107160,6000,Supervisory+RL
253,169160,6000,Supervisory+RL
254,103080,6000,Supervisory+RL
255,199220,6000,Supervisory+RL
256,197110,6000,Supervisory+RL
257,209120,6000,Supervisory+RL
258,203130,6000,Supervisory+RL
259,119230,6000,Supervisory+RL
260,169110,6000,Supervisory+RL
261,207040,6000,Supervisory+RL
262,129180,6000,Supervisory+RL
263,199220,6000,Supervisory+RL
264,153200,6000,Supervisory+RL
265,159150,6000,Supervisory+RL
266,169160,6000,Supervisory+RL
267,193190,6000,Supervisory+RL
268,159220,6000,Supervisory+RL
269,209140,6000,Supervisory+RL
270,159120,6000,Supervisory+RL
271,199220,6000,Supervisory+RL
272,199220,6000,Supervisory+RL
273,199230,6000,Supervisory+RL
274,159220,6000,Supervisory+RL
275,203070,6000,Supervisory+RL
276,203140,6000,Supervisory+RL
277,199180,6000,Supervisory+RL
278,193160,6000,Supervisory+RL
279,163130,6000,Supervisory+RL
280,153210,6000,Supervisory+RL
281,159240,6000,Supervisory+RL
282,209170,6000,Supervisory+RL
283,199220,6000,Supervisory+RL
284,187170,6000,Supervisory+RL
285,199220,6000,Supervisory+RL
286,153210,6000,Supervisory+RL
287,199200,6000,Supervisory+RL
288,199180,6000,Supervisory+RL
289,199220,6000,Supervisory+RL
290,203090,6000,Supervisory+RL
291,199200,6000,Supervisory+RL
292,163130,6000,Supervisory+RL
293,199180,6000,Supervisory+RL
294,199180,6000,Supervisory+RL
295,153210,6000,Supervisory+RL
296,113190,6000,Supervisory+RL
297,163110,6000,Supervisory+RL
298,153210,6000,Supervisory+RL
299,199240,6000,Supervisory+RL
300,212100,7000,Supervisory+RL
301,188070,7000,Supervisory+RL
302,172000,7000,Supervisory+RL
303,209160,7000,Supervisory+RL
304,132030,7000,Supervisory+RL
305,212100,7000,Supervisory+RL
306,219090,7000,Supervisory+RL
307,169220,7000,Supervisory+RL
308,219120,7000,Supervisory+RL
309,105080,7000,Supervisory+RL
310,209160,7000,Supervisory+RL
311,151060,7000,Supervisory+RL
312,179060,7000,Supervisory+RL
313,202130,7000,Supervisory+RL
314,209220,7000,Supervisory+RL
315,142140,7000,Supervisory+RL
316,219140,7000,Supervisory+RL
317,145170,7000,Supervisory+RL
318,202050,7000,Supervisory+RL
319,199220,7000,Supervisory+RL
320,209160,7000,Supervisory+RL
321,199220,7000,Supervisory+RL
322,209190,7000,Supervisory+RL
